TimestampKST,GNSSTime,Latitude,Longitude,FixType,HPE(m),NorthingError(m),EastingError(m),MessageRate(Hz)
2025-07-05 22:48:24.913482+09:00,13:48:25.420000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:24.953620+09:00,13:48:25.450000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.001519+09:00,13:48:25.480000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.036677+09:00,13:48:25.520000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.066064+09:00,13:48:25.550000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.086022+09:00,13:48:25.580000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.127943+09:00,13:48:25.620000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.163794+09:00,13:48:25.650000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.182413+09:00,13:48:25.680000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.221600+09:00,13:48:25.710000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.266451+09:00,13:48:25.750000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.300992+09:00,13:48:25.780000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.322948+09:00,13:48:25.810000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.352716+09:00,13:48:25.850000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.384760+09:00,13:48:25.880000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.425714+09:00,13:48:25.910000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.462912+09:00,13:48:25.950000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.487486+09:00,13:48:25.980000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.521346+09:00,13:48:26.010000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.554345+09:00,13:48:26.040000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:25.594954+09:00,13:48:26.080000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
2025-07-05 22:48:25.622231+09:00,13:48:26.110000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
2025-07-05 22:48:25.646835+09:00,13:48:26.140000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
